event_name,event_date,event_city,event_state,event_country,event_url
UFC on FOX: VanZant vs. Waterson,2016-12-17,Sacramento,California,USA,http://ufcstats.com/event-details/32541eb5d12668b4
UFC 206: Holloway vs. Pettis,2016-12-10,Toronto,Ontario,Canada,http://ufcstats.com/event-details/6e3282d57d2467a0
UFC Fight Night: Lewis vs. Abdurakhimov,2016-12-09,Albany,New York,USA,http://ufcstats.com/event-details/7139cd2ae4bf6a29
The Ultimate Fighter: Tournament of Champions Finale,2016-12-03,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/bd4389b71fdc0ce2
UFC Fight Night: Whittaker vs. Brunson,2016-11-26,Melbourne,Victoria,Australia,http://ufcstats.com/event-details/73e09f837f3b5ecc
UFC Fight Night: Bader vs. Nogueira,2016-11-19,Sao Paulo,Sao Paulo,Brazil,http://ufcstats.com/event-details/5cde96e0a1a1fffe
UFC Fight Night: Mousasi vs. Hall 2,2016-11-19,Belfast,Northern Ireland,United Kingdom,http://ufcstats.com/event-details/6810d8d2dd557cf9
UFC 205: Alvarez vs McGregor,2016-11-12,New York City,New York,USA,http://ufcstats.com/event-details/4956f60b7fa57c1a
UFC Fight Night: Dos Anjos vs. Ferguson,2016-11-05,Mexico City,Distrito Federal,Mexico,http://ufcstats.com/event-details/6083f497c22cc075
UFC 204: Bisping vs. Henderson,2016-10-08,Manchester,England,United Kingdom,http://ufcstats.com/event-details/154a6b3ffae264cd
UFC Fight Night: Lineker vs. Dodson,2016-10-01,Portland,Oregon,USA,http://ufcstats.com/event-details/a196332ee4aa8a82
UFC Fight Night: Cyborg vs. Lansberg,2016-09-24,Brasilia,Distrito Federal,Brazil,http://ufcstats.com/event-details/e18012194473e8b0
UFC Fight Night: Poirier vs. Johnson,2016-09-17,Hidalgo,Texas,USA,http://ufcstats.com/event-details/d6455cb4bee503ce
UFC 203: Miocic vs. Overeem,2016-09-10,Cleveland,Ohio,USA,http://ufcstats.com/event-details/2dc7f1762dc0a7ef
UFC Fight Night: Arlovski vs. Barnett,2016-09-03,Hamburg,Hamburg,Germany,http://ufcstats.com/event-details/2b4faacc16d66898
UFC on FOX: Maia vs. Condit,2016-08-27,Vancouver,British Columbia,Canada,http://ufcstats.com/event-details/cfbccfed4e4796fe
