fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
Sidney,Outlaw,NULL,172.72,170,187.96,Orthodox,1992-04-11,8,4,0,NULL,http://ufcstats.com/fighter-details/871ce0b4a01922b6
Alistair,Overeem,The Demolition Man,193.04,265,203.2,Orthodox,1980-05-17,47,19,0,1,http://ufcstats.com/fighter-details/b4ad3a06ee4d660c
Valentijn,Overeem,NULL,190.5,230,NULL,Orthodox,1976-08-17,30,32,0,NULL,http://ufcstats.com/fighter-details/20e403a1acfef130
Craig,Oxley,NULL,175.26,155,NULL,,1973-02-14,0,3,0,NULL,http://ufcstats.com/fighter-details/4bb9d7a32d02a03e
Shungo,Oyama,NULL,180.34,185,NULL,Southpaw,1974-04-11,14,19,0,NULL,http://ufcstats.com/fighter-details/47b7e4e60813b7b2
Ren,Ozaki,NULL,170.18,135,172.72,Orthodox,2001-12-15,6,1,2,NULL,http://ufcstats.com/fighter-details/8997ee20b6a43d76
Alptekin,Ozkilic,The Turkish Delight,165.1,125,165.1,Orthodox,1986-03-27,9,5,0,NULL,http://ufcstats.com/fighter-details/e18a19001a3f7c7d
Raquel,Pa'aluhi,Rocky,170.18,135,NULL,,NULL,6,5,0,NULL,http://ufcstats.com/fighter-details/373be586f370d400
Nick,Pace,NULL,170.18,135,172.72,Orthodox,1987-04-17,8,3,0,NULL,http://ufcstats.com/fighter-details/8cb76103cd8a1562
Larissa,Pacheco,NULL,170.18,135,NULL,Orthodox,1994-09-07,10,2,0,NULL,http://ufcstats.com/fighter-details/16b89be2f5c16fba
Angel,Pacheco,NULL,172.72,135,177.8,Orthodox,1992-01-13,7,3,0,NULL,http://ufcstats.com/fighter-details/07797f10b9569cfc
Teemu,Packalen,Pacu,185.42,155,190.5,Orthodox,1987-05-22,8,3,0,NULL,http://ufcstats.com/fighter-details/8f4eeaf7a0df7c1a
George,Pacurariu,Constantine,170.18,135,NULL,,1984-07-28,10,5,0,NULL,http://ufcstats.com/fighter-details/c51da79b0346b5b7
Cyrillo,Padilha,NULL,180.34,155,NULL,,1978-01-23,3,3,0,NULL,http://ufcstats.com/fighter-details/856c4d2668a875f9
Gary,Padilla,NULL,180.34,205,NULL,,1980-05-04,12,6,0,NULL,http://ufcstats.com/fighter-details/01dd4cdc2446f665
Fernando,Padilla,El Valiente,185.42,145,193.04,Orthodox,1996-12-15,16,5,0,NULL,http://ufcstats.com/fighter-details/d2f43cfaf8ca3560
Chris,Padilla,Taco,175.26,155,187.96,Orthodox,1995-09-14,15,6,0,NULL,http://ufcstats.com/fighter-details/06626b6287e1ae1e
Damacio,Page,The Angel of Death,167.64000000000001,135,167.64,Orthodox,1982-09-30,19,10,0,NULL,http://ufcstats.com/fighter-details/c96e2ae6021144a1
